DepartmentCode,StockCode,Description,QuantitySold
000101,0000000000000101,SCRIPT RX,0.0
000101,VOUCHER,VOUCHER,0.0
000103,0000000000000103,SCRIPT COPY FEE,0.0
000104,0000000000000104,PROFESSIONAL FEE STOCK CODE,0.0
000109,0000000000000109,MISSING STOCK CODES,0.0
BAAA01,LP9001007,E ARDEN CERAMIDE PURIFYING CLNS 125ML,0.0
BAAA01,LP9001008,E ARDEN CERAMIDE PURIFYING TONER 200M,0.0
BAAA01,LP9001011,DERMO EXP AGE PERF CLNS 200ML,0.0
BAAA01,LP9001012,DERMO EXP AGE PERF TONER 200ML,0.0
BAAA01,LP9001023,OLAY TEFFECTS    CLEANS MILK 200ML,0.0
BAAA01,LP9001024,OLAY TEFFECTS FWASH 150ML,0.0
BAAA01,LP9001025,OLAY TEFFECTS TONER 200ML,0.0
BAAA01,LP9001026,PONDS AGE MIRACLE REFINE TONER 150ML,0.0
BAAA01,LP9001311,EUCERIN DRY SKIN WASH 5% UREA 400ML,0.0
BAAA01,LP9003641,ESSE SENS CLEANSER 200ML,0.0
BAAA01,LP9005047,ESSE SENS TONER 100ML,0.0
BAAA01,LP9005511,ESSE CREAM CLEANSER 100ML PUMP,0.0
BAAA01,LP9005513,ESSE CREAM CLEANSER 200ML PUMP,0.0
BAAA01,LP9005519,ESSE COCOA EXFOLIATOR 50ML,0.0
BAAA01,LP9007229,ESSE GEL CLEANSER 100ML PUMP,0.0
BAAA01,LP9007230,ESSE GEL CLEANSER 200ML PUMP,0.0
BAAA01,LP9008264,ESSE REFINING CLEANSER 100ML,0.0
BAAA01,LP9008271,ESSE HYDRATING MIST 100ML,0.0
BAAA01,LP9008653,ESSE TONER PLUS 100ML SPRITZ,0.0
BAAA01,LP9017528,JS FRESH HYDRA MICELLAR 400ML ROSE WA,0.0
BAAA01,LP9019179,CELLTONE SENSITIVE CLEANSER 100ML,0.0
BAAA01,LP9019184,CELLTONE SENSITIVE TONER 100ML,0.0
BAAA01,LP9050944,PONDS AGE MIRACLE REGEN FFOAM 100ML,2.0
BAAA01,LP9055716,OLAY REG FACE WASH SKIN PERF CLNS 150,0.0
BAAA01,LP9057908,ROOIBOS ADV HYDR CLEANSER 125ML,0.0
BAAA01,LP9058926,CLARINS EYE MAKE UP REMOVER 125ML,0.0
BAAA01,LP9066097,DERMO EXP REV FOAM WASH 100ML,0.0
BAAA01,LP9073557,BIODERMA HYDRABIO H20 CLEANSER 250ML,0.0
BAAA01,LP9073558,BIODERMA HYDRABIO H20 CLEANSER 500ML,0.0
BAAA01,LP9080846,CLARINS O/STEP EXFO CLEANSER 125ML,0.0
